ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F17;2018;2;1
53;F17;2018;8;1
53;F17;2019;2;2
53;F17;2019;4;1
53;F17;2019;7;3
53;F17;2020;1;1
53;F17;2020;5;1
53;F17;2020;7;2
53;F17;2021;6;1
53;F17;2021;7;2
53;F17;2021;8;2
53;F17;2021;10;1
53;F17;2022;2;1
53;F17;2022;5;1
53;F17;2022;9;1
53;F17;2022;10;1
53;F17;2022;12;1
53;F18;2018;2;1
53;F18;2018;3;1
53;F18;2018;9;1
53;F18;2018;11;1
53;F18;2018;12;1
53;F18;2019;4;2
53;F18;2019;6;1
53;F18;2019;8;1
53;F18;2019;9;2
53;F18;2019;11;2
53;F18;2020;1;2
53;F18;2020;2;2
53;F18;2020;3;1
53;F18;2020;6;1
53;F18;2020;8;1
53;F18;2020;9;1
53;F18;2021;4;1
53;F18;2021;12;2
53;F19;2018;1;12
53;F19;2018;2;20
53;F19;2018;3;9
53;F19;2018;4;12
53;F19;2018;5;13
53;F19;2018;6;17
53;F19;2018;7;16
53;F19;2018;8;17
53;F19;2018;9;19
53;F19;2018;10;25
53;F19;2018;11;6
53;F19;2018;12;16
53;F19;2019;1;14
53;F19;2019;2;9
53;F19;2019;3;22
53;F19;2019;4;12
53;F19;2019;5;19
53;F19;2019;6;6
53;F19;2019;7;15
53;F19;2019;8;22
53;F19;2019;9;18
53;F19;2019;10;16
53;F19;2019;11;13
53;F19;2019;12;13
53;F19;2020;1;22
53;F19;2020;2;19
53;F19;2020;3;13
53;F19;2020;4;14
53;F19;2020;5;11
53;F19;2020;6;10
53;F19;2020;7;12
53;F19;2020;8;18
53;F19;2020;9;17
53;F19;2020;10;17
53;F19;2020;11;8
53;F19;2020;12;16
53;F19;2021;1;18
53;F19;2021;2;12
53;F19;2021;3;13
53;F19;2021;4;6
53;F19;2021;5;14
53;F19;2021;6;16
53;F19;2021;7;14
53;F19;2021;8;16
53;F19;2021;9;10
53;F19;2021;10;15
53;F19;2021;11;13
53;F19;2021;12;13
53;F19;2022;1;9
53;F19;2022;2;7
53;F19;2022;3;16
53;F19;2022;4;15
53;F19;2022;5;15
53;F19;2022;6;11
53;F19;2022;7;17
53;F19;2022;8;16
53;F19;2022;9;13
53;F19;2022;10;21
53;F19;2022;11;13
53;F19;2022;12;13
53;F20;2018;1;52
53;F20;2018;2;39
53;F20;2018;3;56
53;F20;2018;4;60
53;F20;2018;5;51
53;F20;2018;6;41
53;F20;2018;7;46
53;F20;2018;8;65
53;F20;2018;9;62
53;F20;2018;10;53
53;F20;2018;11;53
53;F20;2018;12;50
